Timestamp,CURRENT,FREQ,POWER,SCALE_SPEED,TORQUE,VOLTAGE_AC
2017-08-22T13:23:28.700Z,0.905371,32.006836,0.019897,53.3424,0.261942,123.840332
2017-08-22T13:23:27.654Z,0.886658,34.02832,0.022168,56.714577,0.236261,132.324219
2017-08-22T13:23:26.257Z,0.871687,34.954834,0.022729,58.255974,0.280463,133.239746
2017-08-22T13:23:25.233Z,0.860192,37.22168,0.02251,62.035599,0.244354,140.136719
2017-08-22T13:23:24.223Z,0.854221,39.935303,0.023901,66.558372,0.221631,148.803711
2017-08-22T13:23:23.219Z,0.857875,42.938232,0.025317,71.565079,0.231436,158.508301
2017-08-22T13:23:22.208Z,0.851637,46.062012,0.027124,76.7687,0.192215,168.579102
2017-08-22T13:23:21.201Z,0.835953,49.123535,0.028052,81.870895,0.20809,178.588867
2017-08-22T13:23:20.191Z,0.849766,51.947021,0.029199,86.579254,0.216495,187.805176
2017-08-22T13:23:19.186Z,0.841657,54.375,0.029932,90.623825,0.208557,195.739746
2017-08-22T13:23:17.993Z,0.825884,56.264648,0.032104,93.772774,0.179919,202.087402
2017-08-22T13:23:16.989Z,0.829716,57.506104,0.033472,95.845596,0.183188,206.176758
2017-08-22T13:23:15.972Z,0.849498,58.033447,0.031494,96.72348,0.197351,207.824707
2017-08-22T13:23:14.950Z,0.843795,57.813721,0.034131,96.356079,0.219919,207.092285
2017-08-22T13:23:13.944Z,0.857073,56.85791,0.032397,94.76445,0.240463,203.613281
2017-08-22T13:23:12.937Z,0.854489,55.224609,0.032397,92.039848,0.200464,198.181152
2017-08-22T13:23:11.930Z,0.856627,53.001709,0.031006,88.338455,0.217273,190.490723
2017-08-22T13:23:10.920Z,0.837646,50.324707,0.030151,83.872421,0.196729,181.518555
2017-08-22T13:23:09.915Z,0.867766,47.340088,0.026807,78.897827,0.251047,171.936035
2017-08-22T13:23:08.905Z,0.878727,44.219971,0.025317,73.699776,0.225989,161.865234
2017-08-22T13:23:07.899Z,0.844775,41.147461,0.024121,68.576248,0.21167,152.34375
2017-08-22T13:23:06.892Z,0.869459,38.291016,0.023877,63.820976,0.198752,143.188477
2017-08-22T13:23:05.884Z,0.878816,35.822754,0.022583,59.706524,0.206067,135.620117
