model,feature_set,target,prec@0.4,signals@0.4,prec@0.5,signals@0.5,prec@0.7,signals@0.7,class_1_precision,prec@0.6,signals@0.6,class_1_recall,class_1_f1,f1_macro,prec@0.8,signals@0.8,accuracy
LightGBM,A_base,bin_follow_through_hod_10m_0p5,0.417,31934,0.4795,24911,,2.82,0.3073,0.5599,18256,49183.0,0.3606,0.7107749917477143,23.0,817271,0.8609512061403509
LightGBM,A_base,bin_follow_through_hod_10m_1p0,0.4008,32282,0.4627,25127,,2.83,0.2958,0.541,18230,49748.0,0.3472,0.7030867180922475,23.0,817271,0.8574267700501254
LightGBM,A_base,bin_mfr10m_1atr,0.7507,30059,0.8304,5673,,2.98,0.615,0.8901,728,182511.0,0.6691,0.5715757071741943,23.0,832681,0.5749804219255217
LightGBM,A_base,bin_mfr10m_1p5atr,0.6503,28051,0.7606,5697,,2.97,0.4879,0.854,767,172532.0,0.5503,0.5852417976386405,23.0,832681,0.5881253573298869
LightGBM,B_enriched,mc_2p5,0.3024,42352,0.3809,16962,,7.62,0.2096,0.537,3661,112733.0,0.2497,0.5720205290155569,53.0,833584,0.6759404125433132
LightGBM,B_enriched,bin_fr5m_2p5,0.3021,42500,0.3804,17071,,3.84,0.2091,0.5349,3642,113028.0,0.2498,0.57221488692931,53.0,833584,0.6762859583617289
LightGBM,B_enriched,bin_fr5m_2p0,0.3435,41839,0.4391,13456,,6.7,0.2388,0.6139,2683,125856.0,0.2827,0.5740093598987477,53.0,833584,0.6517282090168262
LightGBM,B_enriched,bin_fr5m_1p5,0.3986,39364,0.5219,10041,,3.87,0.2762,0.6746,2173,142723.0,0.3242,0.5745297400892168,53.0,833584,0.6249964005643915
LightGBM,B_enriched,bin_fr5m_1p0,0.4646,33623,0.5955,7483,,3.88,0.3255,0.7262,1673,158265.0,0.3772,0.5761012900182694,53.0,833584,0.6052091032126162
LightGBM,B_enriched,bin_mfr10m_2p5,0.6794,60777,0.7523,33950,,3.94,0.5381,0.8431,14348,131921.0,0.6076,0.6779618824028222,53.0,833236,0.6837799298056934
LightGBM,B_enriched,bin_mfr10m_2p0,0.729,64294,0.7968,34920,,482.93,0.5961,0.8774,13975,140460.0,0.6602,0.6723570224721782,53.0,833236,0.6726362235270958
LightGBM,B_enriched,bin_mfr10m_1p5,0.7864,68485,0.8433,36666,,5.38,0.6695,0.9043,14423,149410.0,0.7267,0.6628481970165399,53.0,833236,0.6658232467027401
LightGBM,B_enriched,bin_mfr10m_1p0,0.8448,72476,0.8886,38557,,3.95,0.7498,0.9358,14601,156709.0,0.7953,0.6417833649521671,53.0,833236,0.6598648927640328
LightGBM,B_enriched,bin_break_hod,0.4169,25587,0.4654,21717,,3.79,0.3354,0.5326,17220,33797.0,0.3742,0.7393950288689468,53.0,833584,0.9062946929921388
LightGBM,B_enriched,bin_first_touch_10m_2p5,0.5255,48516,0.6517,9093,,3.72,0.4144,0.804,1760,145627.0,0.4591,0.6057327631267352,53.0,803695,0.6129152687486933
LightGBM,B_enriched,bin_first_touch_10m_2p0,0.5697,37134,0.6905,7046,,6.26,0.4427,0.8089,1565,155435.0,0.4829,0.5922148504268117,53.0,797654,0.5938891786703046
LightGBM,B_enriched,bin_first_touch_10m_1p5,0.6098,30830,0.7081,6907,,4.25,0.4714,0.8182,1683,163741.0,0.5147,0.5862324896764768,53.0,785381,0.5864677356914363
LightGBM,B_enriched,bin_first_touch_10m_1p0,0.6473,28066,0.7391,6854,,3.77,0.4998,0.8648,1368,163710.0,0.5536,0.5879828665712793,53.0,760476,0.5883296771512292
LightGBM,B_enriched,bin_tb10m_tp1p5_sl0p5,0.4668,26294,0.5659,7929,,3.87,0.311,0.6829,2015,149917.0,0.3671,0.5725072748198524,53.0,759715,0.6092765101448665
LightGBM,B_enriched,bin_tb10m_tp2p0_sl0p7,0.4409,25107,0.565,6527,,3.82,0.2904,0.703,1569,155542.0,0.3359,0.556355832461617,53.0,779298,0.5920275161066763
LightGBM,B_enriched,bin_tb10m_tp2p5_sl1p0,0.4274,26817,0.5622,6142,,3.72,0.2878,0.7114,1372,155041.0,0.3262,0.5484380060568523,53.0,792166,0.5784497909217623
LightGBM,B_enriched,bin_tb10m_tp4p0_sl2p0,0.3553,47407,0.4785,10964,,3.7,0.2629,0.6644,2023,127068.0,0.3003,0.5720550795318802,53.0,806939,0.6281896829528272
LightGBM,B_enriched,bin_tb10m_tp5p0_sl2p5,0.3254,48380,0.4053,17522,,3.68,0.243,0.6006,3230,108951.0,0.2798,0.5850716573297753,53.0,809896,0.670012447886823
LightGBM,B_enriched,bin_tb10m_tp6p0_sl3p0,0.3019,46973,0.3617,23514,,3.85,0.2268,0.5405,5103,94376.0,0.2612,0.5922405062713796,53.0,811395,0.7039232024613079
LightGBM,B_enriched,bin_fr10m_1p0,0.5292,29276,0.6491,8515,,3.76,0.3706,0.7564,2525,161309.0,0.424,0.5807562761260037,53.0,817271,0.600500274122807
LightGBM,B_enriched,bin_fr10m_1p5,0.4652,32661,0.5961,9351,,6.18,0.322,0.723,2762,151139.0,0.372,0.5770140327081077,53.0,817271,0.6105742872807017
LightGBM,B_enriched,bin_mae10m_lt_0p5,0.4447,52768,0.5598,26186,,3.93,0.3195,0.7409,9992,113685.0,0.3725,0.6287691167209132,53.0,817271,0.682937813283208
LightGBM,B_enriched,bin_mae10m_lt_1p0,0.6011,62561,0.7034,34115,,3.91,0.4727,0.8436,14800,122731.0,0.5288,0.6712994756342012,53.0,817271,0.6845238095238095
LightGBM,B_enriched,bin_opportunity_clean_10m_1p5_0p5,0.2882,43878,0.3911,10730,,3.88,0.2029,0.5444,1802,130902.0,0.2325,0.5337125461607279,53.0,817271,0.6082980889724311
LightGBM,B_enriched,bin_opportunity_clean_10m_1p0_0p3,0.2607,46805,0.3474,15919,,3.96,0.1849,0.5067,2769,119391.0,0.2141,0.5376925846253361,53.0,817271,0.6333852208646616
LightGBM,B_enriched,bin_rr10m_ge_2,0.5866,27569,0.7063,7585,,3.79,0.4088,0.8069,2740,171118.0,0.472,0.580107496160813,53.0,817271,0.5934954573934837
LightGBM,B_enriched,bin_rr10m_ge_3,0.513,27947,0.6497,7150,,3.82,0.3426,0.7571,2338,166422.0,0.4034,0.574578435684421,53.0,817271,0.6021645911654135
LightGBM,B_enriched,bin_follow_through_hod_10m_0p5,0.4839,30679,0.5415,25687,,3.9,0.3913,0.6089,20271,41024.0,0.4355,0.7622401020412948,53.0,817271,0.8927543468045113
LightGBM,B_enriched,bin_follow_through_hod_10m_1p0,0.4695,30701,0.5244,25720,,6.07,0.3815,0.5899,20191,40928.0,0.4241,0.7565621081363573,53.0,817271,0.8910704495614035
LightGBM,B_enriched,bin_mfr10m_1atr,0.7823,38712,0.863,14266,,4.09,0.631,0.9344,5134,174395.0,0.6976,0.5942797742955529,53.0,832681,0.596374573005799
LightGBM,B_enriched,bin_mfr10m_1p5atr,0.6936,35450,0.8067,13753,,3.99,0.5088,0.9002,4989,162053.0,0.5846,0.6119165663577865,53.0,832681,0.6161208027250757
LightGBM,C_price_action,mc_2p5,0.287,41051,0.3619,15450,,6.32,0.2048,0.508,2953,113293.0,0.242,0.5655620300959883,36.0,833584,0.6750573510073621
LightGBM,C_price_action,bin_fr5m_2p5,0.2864,41325,0.3596,15852,,3.32,0.2041,0.5073,3081,113549.0,0.2414,0.5650968202571915,36.0,833584,0.6749085743355442
LightGBM,C_price_action,bin_fr5m_2p0,0.327,40550,0.4146,12773,,3.46,0.2335,0.6024,2188,126924.0,0.2729,0.5649880566769352,36.0,833584,0.6463050593666912
LightGBM,C_price_action,bin_fr5m_1p5,0.3804,38326,0.4873,9785,,4.15,0.2723,0.649,1621,143187.0,0.3164,0.5673918850853635,36.0,833584,0.6208114567635795
LightGBM,C_price_action,bin_fr5m_1p0,0.4533,32330,0.5768,6529,,3.62,0.3219,0.7296,1250,159780.0,0.369,0.5681260034629668,36.0,833584,0.5979958342531891
LightGBM,C_price_action,bin_mfr10m_2p5,0.6586,57704,0.7264,30422,,3.41,0.5308,0.8066,11486,130232.0,0.5926,0.6608823984604679,36.0,833236,0.6681230464905247
LightGBM,C_price_action,bin_mfr10m_2p0,0.7114,61554,0.7733,31784,,3.46,0.5905,0.8463,11151,138390.0,0.6494,0.6563051099819035,36.0,833236,0.657036955237926
LightGBM,C_price_action,bin_mfr10m_1p5,0.7763,65387,0.8276,33472,,3.62,0.6656,0.8829,11345,146834.0,0.7195,0.6475476191813445,36.0,833236,0.6494749830755862
LightGBM,C_price_action,bin_mfr10m_1p0,0.8352,70438,0.8765,35364,,7.57,0.7467,0.9195,11150,154685.0,0.7915,0.6281750836316878,36.0,833236,0.6436606667018758
LightGBM,C_price_action,bin_break_hod,0.3738,27767,0.4235,23230,,4.67,0.2923,0.4942,18047,37926.0,0.3313,0.7104665737471814,36.0,833584,0.8893005576725569
LightGBM,C_price_action,bin_first_touch_10m_2p5,0.5133,44518,0.6477,7753,,3.58,0.4095,0.805,1246,145280.0,0.4503,0.5962006068389676,36.0,803695,0.605279401077185
LightGBM,C_price_action,bin_first_touch_10m_2p0,0.5599,35399,0.6743,6496,,3.23,0.4389,0.7826,1348,155468.0,0.4803,0.5888783528375752,36.0,797654,0.5919030614292019
LightGBM,C_price_action,bin_first_touch_10m_1p5,0.6117,29109,0.7241,6168,,5.37,0.4686,0.8345,1390,163952.0,0.5138,0.5842215810179897,36.0,785381,0.5850058069642821
LightGBM,C_price_action,bin_first_touch_10m_1p0,0.6481,29963,0.7397,7419,,3.77,0.5002,0.8449,1593,162474.0,0.5546,0.5888371282524174,36.0,760476,0.5892134736886406
LightGBM,C_price_action,bin_tb10m_tp1p5_sl0p5,0.4645,29673,0.5759,8559,,4.62,0.3163,0.705,2071,145131.0,0.3689,0.5740094486530212,36.0,759715,0.6077651804380223
LightGBM,C_price_action,bin_tb10m_tp2p0_sl0p7,0.4361,25950,0.5644,6508,,3.59,0.2916,0.717,1417,153484.0,0.3385,0.5592960720793858,36.0,779298,0.595985523242383
LightGBM,C_price_action,bin_tb10m_tp2p5_sl1p0,0.4203,26717,0.5512,5905,,3.3,0.2855,0.7024,1240,154369.0,0.3245,0.5480124272610871,36.0,792166,0.5807122800638345
LightGBM,C_price_action,bin_tb10m_tp4p0_sl2p0,0.3358,43314,0.4503,9012,,3.4,0.2563,0.6544,1360,127109.0,0.2889,0.5613138948778914,36.0,806939,0.6214620361418904
LightGBM,C_price_action,bin_tb10m_tp5p0_sl2p5,0.3026,45527,0.3738,14902,,3.37,0.2316,0.5684,1995,111786.0,0.2641,0.5702057741461919,36.0,809896,0.6599602853134694
LightGBM,C_price_action,bin_tb10m_tp6p0_sl3p0,0.2797,44373,0.3316,20960,,3.39,0.2117,0.4759,3665,97925.0,0.2427,0.574846854921586,36.0,811395,0.6921442271187611
LightGBM,C_price_action,bin_fr10m_1p0,0.5158,25808,0.6217,7413,,3.34,0.359,0.7079,2078,167596.0,0.4103,0.5677946425467162,36.0,817271,0.5887913142230576
LightGBM,C_price_action,bin_fr10m_1p5,0.4545,29073,0.5763,7760,,3.37,0.3125,0.7039,2057,155805.0,0.3629,0.56845373883791,36.0,817271,0.6039953399122807
LightGBM,C_price_action,bin_mae10m_lt_0p5,0.4348,55521,0.5407,27694,,3.62,0.3154,0.7232,9807,115117.0,0.3667,0.6234937755399966,36.0,817271,0.6750176221804511
LightGBM,C_price_action,bin_mae10m_lt_1p0,0.59,63654,0.6907,34132,,5.9,0.4598,0.8363,14131,126709.0,0.5171,0.6620296396022489,36.0,817271,0.6742148339598998
LightGBM,C_price_action,bin_opportunity_clean_10m_1p5_0p5,0.2877,43547,0.388,11015,,3.61,0.1979,0.5386,1825,133999.0,0.2306,0.5314658177146775,36.0,817271,0.6061834273182958
LightGBM,C_price_action,bin_opportunity_clean_10m_1p0_0p3,0.2604,49185,0.335,18424,,3.47,0.1827,0.5032,2927,120116.0,0.2134,0.5370661638629521,36.0,817271,0.6329544564536341
LightGBM,C_price_action,bin_rr10m_ge_2,0.5592,27104,0.6653,7096,,3.27,0.4001,0.7812,2372,177809.0,0.4603,0.5703410951546964,36.0,817271,0.5822417371553885
LightGBM,C_price_action,bin_rr10m_ge_3,0.4845,29089,0.5913,7367,,3.43,0.3358,0.7241,2142,171601.0,0.393,0.5650164021207816,36.0,817271,0.5910381422305765
LightGBM,C_price_action,bin_follow_through_hod_10m_0p5,0.4287,33449,0.4854,27495,,3.38,0.3377,0.5593,21116,46554.0,0.3809,0.7270521757745305,36.0,817271,0.8689692982456141
LightGBM,C_price_action,bin_follow_through_hod_10m_1p0,0.4141,33630,0.4698,27503,,3.72,0.3244,0.54,21176,47100.0,0.3664,0.7186102078607621,36.0,817271,0.8651511591478697
LightGBM,C_price_action,bin_mfr10m_1atr,0.7659,35105,0.836,11144,,3.38,0.62,0.8946,2599,178896.0,0.6809,0.5770846976243411,36.0,832681,0.5790497787557473
LightGBM,C_price_action,bin_mfr10m_1p5atr,0.6577,32321,0.7486,9244,,3.33,0.4921,0.824,2079,170251.0,0.5604,0.5935314769546429,36.0,832681,0.596730101229455
LightGBM,D_all,mc_2p5,0.3028,43239,0.3785,17193,,11.89,0.2106,0.5462,3636,112448.0,0.2506,0.5729540335463938,79.0,833584,0.6771690198976801
LightGBM,D_all,bin_fr5m_2p5,0.3031,42944,0.3783,17001,,4.96,0.2107,0.5448,3629,111670.0,0.2513,0.5741397937119566,79.0,833584,0.6796118368639797
LightGBM,D_all,bin_fr5m_2p0,0.3437,42701,0.4427,13690,,5.95,0.2385,0.6209,2730,125587.0,0.2829,0.5743595425510891,79.0,833584,0.6527456494821612
LightGBM,D_all,bin_fr5m_1p5,0.396,40703,0.5197,10408,,5.06,0.2778,0.6762,2122,142253.0,0.3257,0.5760138485144694,79.0,833584,0.6262106101763244
LightGBM,D_all,bin_fr5m_1p0,0.4688,33876,0.6,7568,,4.98,0.3268,0.7265,1667,158307.0,0.3801,0.5788555524344774,79.0,833584,0.6077287081385638
LightGBM,D_all,bin_mfr10m_2p5,0.682,60645,0.7556,34086,,4.99,0.5406,0.8442,14386,131156.0,0.6103,0.6796708161902117,79.0,833236,0.6856956294201528
LightGBM,D_all,bin_mfr10m_2p0,0.7299,64607,0.7967,35643,,4.99,0.5986,0.8754,14482,139838.0,0.663,0.6737875029444333,79.0,833236,0.6741390154552307
LightGBM,D_all,bin_mfr10m_1p5,0.7884,69041,0.8427,37726,,5.0,0.6735,0.9058,14611,147637.0,0.7301,0.6638748982823535,79.0,833236,0.6664618132408933
LightGBM,D_all,bin_mfr10m_1p0,0.8468,73658,0.8894,39714,,5.01,0.7522,0.9371,14910,155389.0,0.7984,0.6437592870761094,79.0,833236,0.6611564295968388
LightGBM,D_all,bin_break_hod,0.4162,25575,0.4657,21768,,4.95,0.3357,0.5317,17315,33709.0,0.3751,0.7397541000386361,79.0,833584,0.9067698184924604
LightGBM,D_all,bin_first_touch_10m_2p5,0.5291,47907,0.6516,9288,,4.82,0.4153,0.8144,1789,145520.0,0.4605,0.6071160644595563,79.0,803695,0.614791880295081
LightGBM,D_all,bin_first_touch_10m_2p0,0.5741,37710,0.7033,7459,,4.89,0.4441,0.8394,1625,155296.0,0.4853,0.5948425676614093,79.0,797654,0.5966526902860811
LightGBM,D_all,bin_first_touch_10m_1p5,0.6167,32070,0.7162,7453,,4.91,0.4733,0.8266,1845,162441.0,0.5192,0.5908263310908706,79.0,785381,0.5911693392285906
LightGBM,D_all,bin_first_touch_10m_1p0,0.6566,31364,0.7498,8361,,4.86,0.5063,0.8702,1834,159018.0,0.5588,0.5936433400838921,79.0,760476,0.5939217945278265
LightGBM,D_all,bin_tb10m_tp1p5_sl0p5,0.4742,30321,0.5802,9313,,4.85,0.3205,0.7018,2492,142840.0,0.3742,0.5790934443933232,79.0,759715,0.6123465631730551
LightGBM,D_all,bin_tb10m_tp2p0_sl0p7,0.4466,27097,0.5702,7190,,4.81,0.2959,0.7101,1790,151179.0,0.3432,0.5635524898146853,79.0,779298,0.598388048974563
LightGBM,D_all,bin_tb10m_tp2p5_sl1p0,0.4343,28008,0.5642,6524,,4.82,0.2906,0.7154,1476,153198.0,0.3307,0.5537712748996685,79.0,792166,0.584636284669616
LightGBM,D_all,bin_tb10m_tp4p0_sl2p0,0.3601,46709,0.4881,10512,,4.88,0.2638,0.6621,1977,126385.0,0.301,0.5728600564335192,79.0,806939,0.6292655115143403
LightGBM,D_all,bin_tb10m_tp5p0_sl2p5,0.3235,49140,0.4068,17733,,4.89,0.2422,0.6057,3259,109575.0,0.2804,0.5855301145126487,79.0,809896,0.6700272667997076
LightGBM,D_all,bin_tb10m_tp6p0_sl3p0,0.3027,47451,0.3601,24058,,7.15,0.2272,0.5466,4905,94414.0,0.2616,0.5926382406108247,79.0,811395,0.7042141022290811
LightGBM,D_all,bin_fr10m_1p0,0.534,29112,0.6566,8294,,4.8,0.3696,0.7667,2469,161521.0,0.4258,0.5823882514791685,79.0,817271,0.602546405075188
LightGBM,D_all,bin_fr10m_1p5,0.4662,32599,0.6125,8972,,4.8,0.323,0.7553,2685,150504.0,0.3736,0.5785256533199519,79.0,817271,0.6117686795112782
LightGBM,D_all,bin_mae10m_lt_0p5,0.4463,54501,0.5535,28535,,5.21,0.3271,0.7309,10411,110699.0,0.3788,0.6345694014189157,79.0,817271,0.6885964912280702
LightGBM,D_all,bin_mae10m_lt_1p0,0.6036,63030,0.7005,35210,,5.41,0.4754,0.8392,15275,121957.0,0.5317,0.6736610915504277,79.0,817271,0.6870447603383458
LightGBM,D_all,bin_opportunity_clean_10m_1p5_0p5,0.2907,45944,0.3897,12618,,5.29,0.208,0.5451,2060,126664.0,0.2396,0.5433042177311499,79.0,817271,0.6206678806390977
LightGBM,D_all,bin_opportunity_clean_10m_1p0_0p3,0.2674,49176,0.3455,19190,,5.35,0.1918,0.4988,3268,113736.0,0.2227,0.5493050263872539,79.0,817271,0.6485892465538847
LightGBM,D_all,bin_rr10m_ge_2,0.5882,28466,0.7106,7775,,4.84,0.4106,0.8103,2831,170136.0,0.4742,0.5820772035380343,79.0,817271,0.5954828477443609
LightGBM,D_all,bin_rr10m_ge_3,0.5159,28698,0.6508,7157,,8.91,0.3456,0.7641,2399,164226.0,0.4057,0.5765529566283831,79.0,817271,0.6047785479323309
LightGBM,D_all,bin_follow_through_hod_10m_0p5,0.4852,30647,0.5399,25722,,4.88,0.3922,0.6093,20306,40981.0,0.4364,0.7629434312789714,79.0,817271,0.8930578399122807
LightGBM,D_all,bin_follow_through_hod_10m_1p0,0.4714,30546,0.5239,25693,,4.76,0.3816,0.5915,20212,40989.0,0.4244,0.7566742614901727,79.0,817271,0.891187930764411
LightGBM,D_all,bin_mfr10m_1atr,0.789,39333,0.861,15608,,5.0,0.6337,0.9288,5826,172976.0,0.7032,0.5959287377811984,79.0,832681,0.5974411576767672
LightGBM,D_all,bin_mfr10m_1p5atr,0.6967,35854,0.8054,14180,,5.02,0.5097,0.9019,5169,162045.0,0.5874,0.6143618226839014,79.0,832681,0.6185326293233914
LightGBM,F_price_vol_time,mc_2p5,0.2876,45311,0.3501,18060,,9.23,0.2046,0.5009,2885,115853.0,0.2409,0.5618475714123339,48.0,833584,0.6626129022969198
LightGBM,F_price_vol_time,bin_fr5m_2p5,0.2872,45173,0.3497,17962,,3.74,0.2052,0.4991,2875,115095.0,0.2417,0.5631059264191011,48.0,833584,0.6648973440964456
LightGBM,F_price_vol_time,bin_fr5m_2p0,0.3265,44572,0.405,14070,,3.61,0.2339,0.5818,1920,129328.0,0.2746,0.5646313257508468,48.0,833584,0.6390054039526603
LightGBM,F_price_vol_time,bin_fr5m_1p5,0.3784,42297,0.4854,9674,,3.64,0.2729,0.6463,1275,144705.0,0.3183,0.567874799465551,48.0,833584,0.616026607028018
LightGBM,F_price_vol_time,bin_fr5m_1p0,0.4486,35402,0.5662,6567,,3.71,0.3235,0.7177,1006,160170.0,0.3713,0.5697416773502291,48.0,833584,0.5962537074186768
LightGBM,F_price_vol_time,bin_mfr10m_2p5,0.674,60101,0.7392,33897,,6.06,0.5386,0.8288,14004,130229.0,0.6056,0.674253219697796,48.0,833236,0.6806975259147585
LightGBM,F_price_vol_time,bin_mfr10m_2p0,0.7248,63663,0.7831,34627,,3.69,0.5964,0.8671,13533,138479.0,0.6592,0.6681510268793985,48.0,833236,0.6686463829766803
LightGBM,F_price_vol_time,bin_mfr10m_1p5,0.7835,67757,0.8357,36289,,3.71,0.6705,0.8961,13892,147261.0,0.7276,0.6599968489519451,48.0,833236,0.6624191589166455
LightGBM,F_price_vol_time,bin_mfr10m_1p0,0.8411,72705,0.8831,38323,,3.72,0.7492,0.9301,13712,155060.0,0.7959,0.6387099864859013,48.0,833236,0.655625387100956
LightGBM,F_price_vol_time,bin_break_hod,0.3812,28070,0.4297,23607,,3.6,0.3106,0.4969,18383,36577.0,0.3445,0.7206235986206757,48.0,833584,0.8940470134282944
LightGBM,F_price_vol_time,bin_first_touch_10m_2p5,0.5181,48139,0.6411,8598,,3.62,0.412,0.7953,1480,145125.0,0.455,0.6013010595970791,48.0,803695,0.6091371569086185
LightGBM,F_price_vol_time,bin_first_touch_10m_2p0,0.5673,37374,0.6879,6617,,3.67,0.4405,0.8151,1368,155078.0,0.481,0.589999686906401,48.0,797654,0.592023432171087
LightGBM,F_price_vol_time,bin_first_touch_10m_1p5,0.615,30913,0.7231,6660,,3.64,0.4701,0.8297,1544,163638.0,0.5168,0.588019863011022,48.0,785381,0.5884747040485747
LightGBM,F_price_vol_time,bin_first_touch_10m_1p0,0.6507,30943,0.7495,7556,,3.71,0.5026,0.8596,1567,161001.0,0.5552,0.5903953223764807,48.0,760476,0.5906022968188586
LightGBM,F_price_vol_time,bin_tb10m_tp1p5_sl0p5,0.4716,29820,0.5823,8972,,3.74,0.3174,0.7083,2201,144589.0,0.3715,0.5764108196816728,48.0,759715,0.6093923612025339
LightGBM,F_price_vol_time,bin_tb10m_tp2p0_sl0p7,0.4427,26934,0.5592,6858,,3.71,0.292,0.7005,1536,153893.0,0.3401,0.5605121779880642,48.0,779298,0.5956159038989707
LightGBM,F_price_vol_time,bin_tb10m_tp2p5_sl1p0,0.4257,27783,0.5536,6122,,5.67,0.2868,0.7089,1302,155021.0,0.327,0.5496535613791548,48.0,792166,0.5803587661353857
LightGBM,F_price_vol_time,bin_tb10m_tp4p0_sl2p0,0.3448,47868,0.451,10828,,3.6,0.2586,0.6601,1765,128039.0,0.2949,0.5660343245590597,48.0,806939,0.6216355568776183
LightGBM,F_price_vol_time,bin_tb10m_tp5p0_sl2p5,0.3095,50319,0.3762,18246,,3.63,0.2376,0.5766,2669,110026.0,0.2703,0.5748439085014218,48.0,809896,0.6582511706941179
LightGBM,F_price_vol_time,bin_tb10m_tp6p0_sl3p0,0.2875,48940,0.3427,25092,,3.64,0.2187,0.5278,4246,97245.0,0.2496,0.5799611730885847,48.0,811395,0.6889985652231793
LightGBM,F_price_vol_time,bin_fr10m_1p0,0.5167,26795,0.6237,6534,,3.58,0.3613,0.7497,1550,167949.0,0.4133,0.5707524937174557,48.0,817271,0.5876556625939849
LightGBM,F_price_vol_time,bin_fr10m_1p5,0.4501,31105,0.5687,7668,,3.58,0.3143,0.6924,1778,156797.0,0.3624,0.5670796588994949,48.0,817271,0.5973184915413534
LightGBM,F_price_vol_time,bin_mae10m_lt_0p5,0.4455,53783,0.5502,27238,,3.89,0.3209,0.7309,10064,112924.0,0.3754,0.6315035810975236,48.0,817271,0.6855713502506265
LightGBM,F_price_vol_time,bin_mae10m_lt_1p0,0.5968,63329,0.7001,34130,,3.83,0.4674,0.835,14977,124601.0,0.5244,0.6678485719681659,48.0,817271,0.6806860902255639
LightGBM,F_price_vol_time,bin_opportunity_clean_10m_1p5_0p5,0.2886,45694,0.3833,11957,,3.82,0.2026,0.5438,2045,130780.0,0.2331,0.5344058121016446,48.0,817271,0.6090519266917294
LightGBM,F_price_vol_time,bin_opportunity_clean_10m_1p0_0p3,0.2655,48891,0.343,18814,,3.88,0.1879,0.4939,3209,116214.0,0.2184,0.5440904778742471,48.0,817271,0.6427984022556391
LightGBM,F_price_vol_time,bin_rr10m_ge_2,0.581,26425,0.7075,7365,,3.66,0.4037,0.8184,2731,175704.0,0.4681,0.5766781343056071,48.0,817271,0.5900101817042607
LightGBM,F_price_vol_time,bin_rr10m_ge_3,0.5044,27448,0.6393,6995,,5.89,0.339,0.7799,2372,169316.0,0.399,0.5704943131771879,48.0,817271,0.598625469924812
LightGBM,F_price_vol_time,bin_follow_through_hod_10m_0p5,0.4405,33764,0.4931,28331,,3.6,0.3601,0.5635,21860,44687.0,0.3983,0.7401422130829965,48.0,817271,0.8762825031328321
LightGBM,F_price_vol_time,bin_follow_through_hod_10m_1p0,0.4276,33885,0.477,28314,,3.58,0.3502,0.5445,21912,44691.0,0.3863,0.7335066216996375,48.0,817271,0.8739573543233082
LightGBM,F_price_vol_time,bin_mfr10m_1atr,0.7847,37587,0.8672,13981,,3.81,0.6281,0.9372,4923,174805.0,0.6971,0.589422101772155,48.0,832681,0.5908542766682201
LightGBM,F_price_vol_time,bin_mfr10m_1p5atr,0.6872,33728,0.799,12575,,3.85,0.5019,0.9046,4297,164890.0,0.579,0.606904736319812,48.0,832681,0.6111770386420744
LightGBM,D_clean,mc_2p5,0.3025,42661,0.3805,17206,,8.7,0.2105,0.5492,3558,112306.0,0.2506,0.573091307123415,70.0,833584,0.6775097664686177
LightGBM,D_clean,bin_fr5m_2p5,0.3008,43053,0.3745,17550,,4.72,0.2104,0.5354,3704,112482.0,0.2499,0.572321589404261,70.0,833584,0.6762715606192949
LightGBM,D_clean,bin_fr5m_2p0,0.3433,41946,0.4394,13568,,4.56,0.2389,0.6168,2740,126043.0,0.283,0.5743640536837895,70.0,833584,0.6525968728103433
LightGBM,D_clean,bin_fr5m_1p5,0.4002,39641,0.5181,10083,,5.0,0.2769,0.673,2058,142710.0,0.3257,0.5761651328872837,70.0,833584,0.6272664446214834
LightGBM,D_clean,bin_fr5m_1p0,0.4694,33501,0.6003,7529,,4.5,0.3271,0.7283,1697,157806.0,0.3803,0.5790980624476882,70.0,833584,0.6084773907451312
LightGBM,D_clean,bin_mfr10m_2p5,0.6821,60603,0.7559,33886,,4.57,0.5408,0.844,14530,131154.0,0.6101,0.6799453682932828,70.0,833236,0.6858300644808166
LightGBM,D_clean,bin_mfr10m_2p0,0.7305,64355,0.7973,35263,,4.64,0.5985,0.8776,14272,139769.0,0.6623,0.6738380483692032,70.0,833236,0.6741486179595638
LightGBM,D_clean,bin_mfr10m_1p5,0.7891,68752,0.8451,37076,,4.58,0.6724,0.9057,14672,148476.0,0.7295,0.6645594372194992,70.0,833236,0.667335641135208
LightGBM,D_clean,bin_mfr10m_1p0,0.8447,73899,0.8878,39611,,4.72,0.7521,0.9351,14898,155598.0,0.7977,0.644242260433716,70.0,833236,0.6620686675084863
LightGBM,D_clean,bin_break_hod,0.4156,25599,0.4656,21641,,4.39,0.3349,0.5314,17268,33816.0,0.3738,0.7389443951487795,70.0,833584,0.9062850944971828
LightGBM,D_clean,bin_first_touch_10m_2p5,0.5272,48199,0.6537,9390,,4.43,0.4156,0.8087,1861,145003.0,0.4616,0.6081408977271744,70.0,803695,0.6160562286578992
LightGBM,D_clean,bin_first_touch_10m_2p0,0.5737,37806,0.6942,7600,,4.66,0.4434,0.8146,1742,155103.0,0.4858,0.5953038296505777,70.0,797654,0.5972996830237131
LightGBM,D_clean,bin_first_touch_10m_1p5,0.6159,32401,0.7139,7575,,4.48,0.4736,0.8255,1862,162219.0,0.5187,0.5901929961154186,70.0,785381,0.5905937366287006
